road,lat,lon,chainage,length,condition,name,model_type,id,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT
N2,24.68407624617495,91.72393998734665,198886.0,402.0,-,,link,11620.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.6859501977011,91.7242745666666,199288.0,24.5,A,BROMMON GRAM,bridge,11621.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.68711191537945,91.72444819325065,199312.5,242.5,-,,link,11622.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.6882736330578,91.7246218198347,199555.0,3.0,A,BRAMMOR GRANON,bridge,11623.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.70839724239095,91.74307655302076,199558.0,6060.0,-,,link,11624.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.7285208517241,91.7615312862068,205618.0,7.2,A,CHANDPUR BOX CULVERT,bridge,11625.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.7318108100908,91.7659200590479,205625.2,1152.7999999999884,-,,link,11626.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.7351007684575,91.770308831889,206778.0,6.25,A,KASIKAPON BOX CULVERT,bridge,11627.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.750895541662352,91.77675650010374,206784.25,3911.75,-,,link,11628.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.7666903148672,91.7832041683185,210696.0,1.5,A,SONARGOUR BOX CULVERT,bridge,11629.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.76788855968075,91.78306339517044,210697.5,268.5,-,,link,11630.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
N2,24.7690868044943,91.7829226220224,210966.0,7.1,A,SOWEAGOAN BOX CULVERT,bridge,11631.0,321.0,669.0,573.0,961.0,405.0,1002.0,183.0,621.0,3665.0,447.0,367.0,579.0,6.0,7634.0,946.0,8580.0
